Series Name,Series Code,Country Name,Country Code,2017
"International tourism, number of arrivals",ST.INT.ARVL,Afghanistan,AFG,NA
"International tourism, number of arrivals",ST.INT.ARVL,Albania,ALB,4643000
"International tourism, number of arrivals",ST.INT.ARVL,Algeria,DZA,2451000
"International tourism, number of arrivals",ST.INT.ARVL,American Samoa,ASM,20000
"International tourism, number of arrivals",ST.INT.ARVL,Andorra,AND,NA
"International tourism, number of arrivals",ST.INT.ARVL,Angola,AGO,261000
"International tourism, number of arrivals",ST.INT.ARVL,Antigua and Barbuda,ATG,247000
"International tourism, number of arrivals",ST.INT.ARVL,Argentina,ARG,6720000
"International tourism, number of arrivals",ST.INT.ARVL,Armenia,ARM,1495000
"International tourism, number of arrivals",ST.INT.ARVL,Aruba,ABW,1070500
"International tourism, number of arrivals",ST.INT.ARVL,Australia,AUS,8815000
"International tourism, number of arrivals",ST.INT.ARVL,Austria,AUT,29460000
"International tourism, number of arrivals",ST.INT.ARVL,Azerbaijan,AZE,2454000
"International tourism, number of arrivals",ST.INT.ARVL,"Bahamas, The",BHS,1439000
"International tourism, number of arrivals",ST.INT.ARVL,Bahrain,BHR,11370000
"International tourism, number of arrivals",ST.INT.ARVL,Bangladesh,BGD,NA
"International tourism, number of arrivals",ST.INT.ARVL,Barbados,BRB,664000
"International tourism, number of arrivals",ST.INT.ARVL,Belarus,BLR,11060200
"International tourism, number of arrivals",ST.INT.ARVL,Belgium,BEL,8385000
"International tourism, number of arrivals",ST.INT.ARVL,Belize,BLZ,427000
"International tourism, number of arrivals",ST.INT.ARVL,Benin,BEN,281000
"International tourism, number of arrivals",ST.INT.ARVL,Bermuda,BMU,270000
"International tourism, number of arrivals",ST.INT.ARVL,Bhutan,BTN,255000
"International tourism, number of arrivals",ST.INT.ARVL,Bolivia,BOL,1134000
"International tourism, number of arrivals",ST.INT.ARVL,Bosnia and Herzegovina,BIH,923000
"International tourism, number of arrivals",ST.INT.ARVL,Botswana,BWA,NA
"International tourism, number of arrivals",ST.INT.ARVL,Brazil,BRA,6589000
"International tourism, number of arrivals",ST.INT.ARVL,British Virgin Islands,VGB,335000
"International tourism, number of arrivals",ST.INT.ARVL,Brunei Darussalam,BRN,259000
"International tourism, number of arrivals",ST.INT.ARVL,Bulgaria,BGR,8883000
"International tourism, number of arrivals",ST.INT.ARVL,Burkina Faso,BFA,143000
"International tourism, number of arrivals",ST.INT.ARVL,Burundi,BDI,299000
"International tourism, number of arrivals",ST.INT.ARVL,Cabo Verde,CPV,668000
"International tourism, number of arrivals",ST.INT.ARVL,Cambodia,KHM,5602000
"International tourism, number of arrivals",ST.INT.ARVL,Cameroon,CMR,NA
"International tourism, number of arrivals",ST.INT.ARVL,Canada,CAN,20798000
"International tourism, number of arrivals",ST.INT.ARVL,Cayman Islands,CYM,418000
"International tourism, number of arrivals",ST.INT.ARVL,Central African Republic,CAF,NA
"International tourism, number of arrivals",ST.INT.ARVL,Chad,TCD,87000
"International tourism, number of arrivals",ST.INT.ARVL,Channel Islands,CHI,NA
"International tourism, number of arrivals",ST.INT.ARVL,Chile,CHL,6450000
"International tourism, number of arrivals",ST.INT.ARVL,China,CHN,60740000
"International tourism, number of arrivals",ST.INT.ARVL,Colombia,COL,4113000
"International tourism, number of arrivals",ST.INT.ARVL,Comoros,COM,28000
"International tourism, number of arrivals",ST.INT.ARVL,"Congo, Dem. Rep.",COD,NA
"International tourism, number of arrivals",ST.INT.ARVL,"Congo, Rep.",COG,206000
"International tourism, number of arrivals",ST.INT.ARVL,Costa Rica,CRI,2960000
"International tourism, number of arrivals",ST.INT.ARVL,Cote d'Ivoire,CIV,1800000
"International tourism, number of arrivals",ST.INT.ARVL,Croatia,HRV,15593000
"International tourism, number of arrivals",ST.INT.ARVL,Cuba,CUB,4594000
"International tourism, number of arrivals",ST.INT.ARVL,Curacao,CUW,399000
"International tourism, number of arrivals",ST.INT.ARVL,Cyprus,CYP,3652000
"International tourism, number of arrivals",ST.INT.ARVL,Czech Republic,CZE,10160000
"International tourism, number of arrivals",ST.INT.ARVL,Denmark,DNK,11743000
"International tourism, number of arrivals",ST.INT.ARVL,Djibouti,DJI,NA
"International tourism, number of arrivals",ST.INT.ARVL,Dominica,DMA,72000
"International tourism, number of arrivals",ST.INT.ARVL,Dominican Republic,DOM,6188000
"International tourism, number of arrivals",ST.INT.ARVL,Ecuador,ECU,1608000
"International tourism, number of arrivals",ST.INT.ARVL,"Egypt, Arab Rep.",EGY,8157000
"International tourism, number of arrivals",ST.INT.ARVL,El Salvador,SLV,1556000
"International tourism, number of arrivals",ST.INT.ARVL,Equatorial Guinea,GNQ,NA
"International tourism, number of arrivals",ST.INT.ARVL,Eritrea,ERI,NA
"International tourism, number of arrivals",ST.INT.ARVL,Estonia,EST,3245000
"International tourism, number of arrivals",ST.INT.ARVL,Eswatini,SWZ,921000
"International tourism, number of arrivals",ST.INT.ARVL,Ethiopia,ETH,933000
"International tourism, number of arrivals",ST.INT.ARVL,Faroe Islands,FRO,NA
"International tourism, number of arrivals",ST.INT.ARVL,Fiji,FJI,843000
"International tourism, number of arrivals",ST.INT.ARVL,Finland,FIN,3180000
"International tourism, number of arrivals",ST.INT.ARVL,France,FRA,86861000
"International tourism, number of arrivals",ST.INT.ARVL,French Polynesia,PYF,199000
"International tourism, number of arrivals",ST.INT.ARVL,Gabon,GAB,NA
"International tourism, number of arrivals",ST.INT.ARVL,"Gambia, The",GMB,162000
"International tourism, number of arrivals",ST.INT.ARVL,Georgia,GEO,6483000
"International tourism, number of arrivals",ST.INT.ARVL,Germany,DEU,37452000
"International tourism, number of arrivals",ST.INT.ARVL,Ghana,GHA,NA
"International tourism, number of arrivals",ST.INT.ARVL,Gibraltar,GIB,NA
"International tourism, number of arrivals",ST.INT.ARVL,Greece,GRC,27194000
"International tourism, number of arrivals",ST.INT.ARVL,Greenland,GRL,NA
"International tourism, number of arrivals",ST.INT.ARVL,Grenada,GRD,168000
"International tourism, number of arrivals",ST.INT.ARVL,Guam,GUM,1544000
"International tourism, number of arrivals",ST.INT.ARVL,Guatemala,GTM,2113000
"International tourism, number of arrivals",ST.INT.ARVL,Guinea,GIN,NA
"International tourism, number of arrivals",ST.INT.ARVL,Guinea-Bissau,GNB,NA
"International tourism, number of arrivals",ST.INT.ARVL,Guyana,GUY,247000
"International tourism, number of arrivals",ST.INT.ARVL,Haiti,HTI,467000
"International tourism, number of arrivals",ST.INT.ARVL,Honduras,HND,851000
"International tourism, number of arrivals",ST.INT.ARVL,"Hong Kong SAR, China",HKG,27884000
"International tourism, number of arrivals",ST.INT.ARVL,Hungary,HUN,5650000
"International tourism, number of arrivals",ST.INT.ARVL,Iceland,ISL,2225000
"International tourism, number of arrivals",ST.INT.ARVL,India,IND,15543000
"International tourism, number of arrivals",ST.INT.ARVL,Indonesia,IDN,14040000
"International tourism, number of arrivals",ST.INT.ARVL,"Iran, Islamic Rep.",IRN,4867000
"International tourism, number of arrivals",ST.INT.ARVL,Iraq,IRQ,NA
"International tourism, number of arrivals",ST.INT.ARVL,Ireland,IRL,10338000
"International tourism, number of arrivals",ST.INT.ARVL,Isle of Man,IMN,NA
"International tourism, number of arrivals",ST.INT.ARVL,Israel,ISR,3613000
"International tourism, number of arrivals",ST.INT.ARVL,Italy,ITA,58253000
"International tourism, number of arrivals",ST.INT.ARVL,Jamaica,JAM,2353000
"International tourism, number of arrivals",ST.INT.ARVL,Japan,JPN,28691000
"International tourism, number of arrivals",ST.INT.ARVL,Jordan,JOR,3843500
"International tourism, number of arrivals",ST.INT.ARVL,Kazakhstan,KAZ,7701000
"International tourism, number of arrivals",ST.INT.ARVL,Kenya,KEN,1364000
"International tourism, number of arrivals",ST.INT.ARVL,Kiribati,KIR,5800
"International tourism, number of arrivals",ST.INT.ARVL,"Korea, Dem. Peopleâ€™s Rep.",PRK,NA
"International tourism, number of arrivals",ST.INT.ARVL,"Korea, Rep.",KOR,13336000
"International tourism, number of arrivals",ST.INT.ARVL,Kosovo,XKX,NA
"International tourism, number of arrivals",ST.INT.ARVL,Kuwait,KWT,NA
"International tourism, number of arrivals",ST.INT.ARVL,Kyrgyz Republic,KGZ,4568000
"International tourism, number of arrivals",ST.INT.ARVL,Lao PDR,LAO,3257000
"International tourism, number of arrivals",ST.INT.ARVL,Latvia,LVA,1949000
"International tourism, number of arrivals",ST.INT.ARVL,Lebanon,LBN,1857000
"International tourism, number of arrivals",ST.INT.ARVL,Lesotho,LSO,1137000
"International tourism, number of arrivals",ST.INT.ARVL,Liberia,LBR,NA
"International tourism, number of arrivals",ST.INT.ARVL,Libya,LBY,NA
"International tourism, number of arrivals",ST.INT.ARVL,Liechtenstein,LIE,69000
"International tourism, number of arrivals",ST.INT.ARVL,Lithuania,LTU,2523000
"International tourism, number of arrivals",ST.INT.ARVL,Luxembourg,LUX,1046000
"International tourism, number of arrivals",ST.INT.ARVL,"Macao SAR, China",MAC,17255000
"International tourism, number of arrivals",ST.INT.ARVL,"Macedonia, FYR",MKD,631000
"International tourism, number of arrivals",ST.INT.ARVL,Madagascar,MDG,255000
"International tourism, number of arrivals",ST.INT.ARVL,Malawi,MWI,837000
"International tourism, number of arrivals",ST.INT.ARVL,Malaysia,MYS,25948000
"International tourism, number of arrivals",ST.INT.ARVL,Maldives,MDV,1390000
"International tourism, number of arrivals",ST.INT.ARVL,Mali,MLI,193300
"International tourism, number of arrivals",ST.INT.ARVL,Malta,MLT,2274000
"International tourism, number of arrivals",ST.INT.ARVL,Marshall Islands,MHL,6000
"International tourism, number of arrivals",ST.INT.ARVL,Mauritania,MRT,NA
"International tourism, number of arrivals",ST.INT.ARVL,Mauritius,MUS,1342000
"International tourism, number of arrivals",ST.INT.ARVL,Mexico,MEX,39291000
"International tourism, number of arrivals",ST.INT.ARVL,"Micronesia, Fed. Sts.",FSM,NA
"International tourism, number of arrivals",ST.INT.ARVL,Moldova,MDA,145000
"International tourism, number of arrivals",ST.INT.ARVL,Monaco,MCO,355000
"International tourism, number of arrivals",ST.INT.ARVL,Mongolia,MNG,469000
"International tourism, number of arrivals",ST.INT.ARVL,Montenegro,MNE,1877000
"International tourism, number of arrivals",ST.INT.ARVL,Morocco,MAR,11349000
"International tourism, number of arrivals",ST.INT.ARVL,Mozambique,MOZ,1447000
"International tourism, number of arrivals",ST.INT.ARVL,Myanmar,MMR,3443000
"International tourism, number of arrivals",ST.INT.ARVL,Namibia,NAM,1499000
"International tourism, number of arrivals",ST.INT.ARVL,Nauru,NRU,NA
"International tourism, number of arrivals",ST.INT.ARVL,Nepal,NPL,940000
"International tourism, number of arrivals",ST.INT.ARVL,Netherlands,NLD,17924000
"International tourism, number of arrivals",ST.INT.ARVL,New Caledonia,NCL,121000
"International tourism, number of arrivals",ST.INT.ARVL,New Zealand,NZL,3555000
"International tourism, number of arrivals",ST.INT.ARVL,Nicaragua,NIC,1787000
"International tourism, number of arrivals",ST.INT.ARVL,Niger,NER,164000
"International tourism, number of arrivals",ST.INT.ARVL,Nigeria,NGA,NA
"International tourism, number of arrivals",ST.INT.ARVL,Northern Mariana Islands,MNP,656000
"International tourism, number of arrivals",ST.INT.ARVL,Norway,NOR,6252000
"International tourism, number of arrivals",ST.INT.ARVL,Oman,OMN,2372000
"International tourism, number of arrivals",ST.INT.ARVL,Pakistan,PAK,NA
"International tourism, number of arrivals",ST.INT.ARVL,Palau,PLW,123000
"International tourism, number of arrivals",ST.INT.ARVL,Panama,PAN,1843000
"International tourism, number of arrivals",ST.INT.ARVL,Papua New Guinea,PNG,NA
"International tourism, number of arrivals",ST.INT.ARVL,Paraguay,PRY,1584000
"International tourism, number of arrivals",ST.INT.ARVL,Peru,PER,4032000
"International tourism, number of arrivals",ST.INT.ARVL,Philippines,PHL,6621000
"International tourism, number of arrivals",ST.INT.ARVL,Poland,POL,18258000
"International tourism, number of arrivals",ST.INT.ARVL,Portugal,PRT,15432000
"International tourism, number of arrivals",ST.INT.ARVL,Puerto Rico,PRI,3797000
"International tourism, number of arrivals",ST.INT.ARVL,Qatar,QAT,2256500
"International tourism, number of arrivals",ST.INT.ARVL,Romania,ROU,10926000
"International tourism, number of arrivals",ST.INT.ARVL,Russian Federation,RUS,24390000
"International tourism, number of arrivals",ST.INT.ARVL,Rwanda,RWA,NA
"International tourism, number of arrivals",ST.INT.ARVL,Samoa,WSM,146000
"International tourism, number of arrivals",ST.INT.ARVL,San Marino,SMR,78000
"International tourism, number of arrivals",ST.INT.ARVL,Sao Tome and Principe,STP,NA
"International tourism, number of arrivals",ST.INT.ARVL,Saudi Arabia,SAU,16109000
"International tourism, number of arrivals",ST.INT.ARVL,Senegal,SEN,1365000
"International tourism, number of arrivals",ST.INT.ARVL,Serbia,SRB,1497000
"International tourism, number of arrivals",ST.INT.ARVL,Seychelles,SYC,350000
"International tourism, number of arrivals",ST.INT.ARVL,Sierra Leone,SLE,NA
"International tourism, number of arrivals",ST.INT.ARVL,Singapore,SGP,13903000
"International tourism, number of arrivals",ST.INT.ARVL,Sint Maarten (Dutch part),SXM,402000
"International tourism, number of arrivals",ST.INT.ARVL,Slovak Republic,SVK,2162000
"International tourism, number of arrivals",ST.INT.ARVL,Slovenia,SVN,3586000
"International tourism, number of arrivals",ST.INT.ARVL,Solomon Islands,SLB,25700
"International tourism, number of arrivals",ST.INT.ARVL,Somalia,SOM,NA
"International tourism, number of arrivals",ST.INT.ARVL,South Africa,ZAF,10285000
"International tourism, number of arrivals",ST.INT.ARVL,South Sudan,SSD,NA
"International tourism, number of arrivals",ST.INT.ARVL,Spain,ESP,81786000
"International tourism, number of arrivals",ST.INT.ARVL,Sri Lanka,LKA,2116400
"International tourism, number of arrivals",ST.INT.ARVL,St. Kitts and Nevis,KNA,NA
"International tourism, number of arrivals",ST.INT.ARVL,St. Lucia,LCA,386000
"International tourism, number of arrivals",ST.INT.ARVL,St. Martin (French part),MAF,NA
"International tourism, number of arrivals",ST.INT.ARVL,St. Vincent and the Grenadines,VCT,76000
"International tourism, number of arrivals",ST.INT.ARVL,Sudan,SDN,813000
"International tourism, number of arrivals",ST.INT.ARVL,Suriname,SUR,278000
"International tourism, number of arrivals",ST.INT.ARVL,Sweden,SWE,7054000
"International tourism, number of arrivals",ST.INT.ARVL,Switzerland,CHE,9889000
"International tourism, number of arrivals",ST.INT.ARVL,Syrian Arab Republic,SYR,NA
"International tourism, number of arrivals",ST.INT.ARVL,Tajikistan,TJK,431000
"International tourism, number of arrivals",ST.INT.ARVL,Tanzania,TZA,1275000
"International tourism, number of arrivals",ST.INT.ARVL,Thailand,THA,35592000
"International tourism, number of arrivals",ST.INT.ARVL,Timor-Leste,TLS,74000
"International tourism, number of arrivals",ST.INT.ARVL,Togo,TGO,496000
"International tourism, number of arrivals",ST.INT.ARVL,Tonga,TON,62500
"International tourism, number of arrivals",ST.INT.ARVL,Trinidad and Tobago,TTO,395000
"International tourism, number of arrivals",ST.INT.ARVL,Tunisia,TUN,7052000
"International tourism, number of arrivals",ST.INT.ARVL,Turkey,TUR,37601000
"International tourism, number of arrivals",ST.INT.ARVL,Turkmenistan,TKM,NA
"International tourism, number of arrivals",ST.INT.ARVL,Turks and Caicos Islands,TCA,416400
"International tourism, number of arrivals",ST.INT.ARVL,Tuvalu,TUV,2500
"International tourism, number of arrivals",ST.INT.ARVL,Uganda,UGA,1402000
"International tourism, number of arrivals",ST.INT.ARVL,Ukraine,UKR,14230000
"International tourism, number of arrivals",ST.INT.ARVL,United Arab Emirates,ARE,NA
"International tourism, number of arrivals",ST.INT.ARVL,United Kingdom,GBR,37651000
"International tourism, number of arrivals",ST.INT.ARVL,United States,USA,76941000
"International tourism, number of arrivals",ST.INT.ARVL,Uruguay,URY,3674000
"International tourism, number of arrivals",ST.INT.ARVL,Uzbekistan,UZB,2690000
"International tourism, number of arrivals",ST.INT.ARVL,Vanuatu,VUT,109000
"International tourism, number of arrivals",ST.INT.ARVL,"Venezuela, RB",VEN,427000
"International tourism, number of arrivals",ST.INT.ARVL,Vietnam,VNM,12922000
"International tourism, number of arrivals",ST.INT.ARVL,Virgin Islands (U.S.),VIR,NA
"International tourism, number of arrivals",ST.INT.ARVL,West Bank and Gaza,PSE,503000
"International tourism, number of arrivals",ST.INT.ARVL,"Yemen, Rep.",YEM,NA
"International tourism, number of arrivals",ST.INT.ARVL,Zambia,ZMB,1083000
"International tourism, number of arrivals",ST.INT.ARVL,Zimbabwe,ZWE,2423000
